"","players","id","slug","url","DOB","year_pro","weight","height","place_OB","residence","plays","coach"
"61","Marco Chiudinelli","c582","marco-chiudinelli","https://www.atptour.com/en/players/marco-chiudinelli/c582/overview","(1981.09.10)","2000","187lbs(85kg)","6'1""(185cm)","Basel,Switzerland","Basel,Switzerland","Right-Handed,Two-HandedBackhand","JanVacek"
"62","Pere Riba","r750","pere-riba","https://www.atptour.com/en/players/pere-riba/r750/overview","32(1988.04.07)","2004","173lbs(78kg)","6'0""(183cm)","Barcelona,Spain","Barcelona,Spain","Right-Handed,Two-HandedBackhand","EduGrosso"
"63","Andreas Beck","ba86","andreas-beck","https://www.atptour.com/en/players/andreas-beck/ba86/overview","(1986.02.05)","2003","196lbs(89kg)","6'3""(191cm)","Weingarten,Germany","Stuttgart,Germany","Left-Handed,Two-HandedBackhand","LoukSorensen"
"64","Sam Querrey","q927","sam-querrey","https://www.atptour.com/en/players/sam-querrey/q927/overview","32(1987.10.07)","2006","209lbs(95kg)","6'6""(198cm)","SanFrancisco,CA,USA","LasVegas,NV,USA","Right-Handed,Two-HandedBackhand","VaheAssadourian"
"65","Michael Llodra","l428","michael-llodra","https://www.atptour.com/en/players/michael-llodra/l428/overview","(1980.05.18)","1999","176lbs(80kg)","6'3""(191cm)","Paris,France","Bordeaux,France","Left-Handed,One-HandedBackhand",""
"66","Xavier Malisse","m680","xavier-malisse","https://www.atptour.com/en/players/xavier-malisse/m680/overview","(1980.07.19)","1998","183lbs(83kg)","6'1""(185cm)","Kortrijk,Belgium","Sarasota,Florida,USA","Right-Handed,Two-HandedBackhand",""
"67","Denis Istomin","i165","denis-istomin","https://www.atptour.com/en/players/denis-istomin/i165/overview","33(1986.09.07)","2004","187lbs(85kg)","6'2""(188cm)","Orenburg,Russia","Tashkent,Uzbekistan","Right-Handed,Two-HandedBackhand","KlaudiyaIstomina"
"68","Julien Benneteau","b747","julien-benneteau","https://www.atptour.com/en/players/julien-benneteau/b747/overview","(1981.12.20)","2000","174lbs(79kg)","6'1""(185cm)","Bourg-en-Bresse,France","Boulogne-Billancourt,France","Right-Handed,Two-HandedBackhand","AntoineBenneteau"
"69","Richard Gasquet","g628","richard-gasquet","https://www.atptour.com/en/players/richard-gasquet/g628/overview","34(1986.06.18)","2002","174lbs(79kg)","6'0""(183cm)","Beziers,France","Neuchatel,Switzerland","Right-Handed,One-HandedBackhand","JulienCassaigne,ThierryAscione"
"70","Andy Roddick","r485","andy-roddick","https://www.atptour.com/en/players/andy-roddick/r485/overview","(1982.08.30)","2000","195lbs(88kg)","6'2""(188cm)","Omaha,Nebraska,USA","Austin,Texas,USA","Right-Handed,Two-HandedBackhand","LarryStefanki"
"71","Marcel Granollers","g710","marcel-granollers","https://www.atptour.com/en/players/marcel-granollers/g710/overview","34(1986.04.12)","2003","176lbs(80kg)","6'3""(191cm)","Barcelona,Spain","Barcelona,Spain","Right-Handed,Two-HandedBackhand","VictorCarceller"
"72","Novak Djokovic","d643","novak-djokovic","https://www.atptour.com/en/players/novak-djokovic/d643/overview","33(1987.05.22)","2003","170lbs(77kg)","6'2""(188cm)","Belgrade,Serbia","MonteCarlo,Monaco","Right-Handed,Two-HandedBackhand","MarianVajda,GoranIvanisevic"
"73","Marcos Daniel","d339","marcos-daniel","https://www.atptour.com/en/players/marcos-daniel/d339/overview","(1978.07.04)","1997","175lbs(79kg)","5'11""(180cm)","PassoFundo,Brazil","PassoFundo,Brazil","Right-Handed,One-HandedBackhand","LarriPassos,MarcusBarbosa"
"74","Dustin Brown","ba65","dustin-brown","https://www.atptour.com/en/players/dustin-brown/ba65/overview","35(1984.12.08)","2002","172lbs(78kg)","6'5""(196cm)","Celle,Germany","Winsen,Germany","Right-Handed,Two-HandedBackhand",""
"75","Grigor Dimitrov","d875","grigor-dimitrov","https://www.atptour.com/en/players/grigor-dimitrov/d875/overview","29(1991.05.16)","2008","179lbs(81kg)","6'3""(191cm)","Haskovo,Bulgaria","MonteCarlo,Monaco","Right-Handed,One-HandedBackhand","ChristianGroh,AndreAgassi"
"76","Ivan Navarro","n309","ivan-navarro","https://www.atptour.com/en/players/ivan-navarro/n309/overview","(1981.10.19)","2001","189lbs(86kg)","6'0""(183cm)","Alicante,Spain","S.Vicente,Alicante,Spain","Right-Handed,One-HandedBackhand","IsraelSevilla"
"77","Jesse Levine","l799","jesse-levine","https://www.atptour.com/en/players/jesse-levine/l799/overview","(1987.10.15)","2007","150lbs(68kg)","5'9""(175cm)","Ottawa,Canada","BocaRaton,U.S.A.","Left-Handed,Two-HandedBackhand","HoracioRearteandCyrilSaulnier"
