"","players","id","slug","url","DOB","year_pro","weight","height","place_OB","residence","plays","coach"
"570","Oliver Golding","gc38","oliver-golding","https://www.atptour.com/en/players/oliver-golding/gc38/overview","(1993.09.29)","2011","185lbs(84kg)","6'2""(188cm)","Richmond,England","Richmond,England","Right-Handed,Two-HandedBackhand",""
"571","Sebastian Decoud","d479","sebastian-decoud","https://www.atptour.com/en/players/sebastian-decoud/d479/overview","(1981.09.18)","2000","176lbs(80kg)","5'11""(180cm)","CuruzuCuatia,Argentina","BogotaColombia","Left-Handed,One-HandedBackhand","AngelAlbertoDecoud"
"572","Robin Kern","kb43","robin-kern","https://www.atptour.com/en/players/robin-kern/kb43/overview","26(1993.10.03)","","192lbs(87kg)","6'2""(188cm)","Nuremberg,Germany","Mannheim,Germany","Right-Handed,Two-HandedBackhand","DanielSteinbrenner"
"573","Gerard Granollers","g922","gerard-granollers","https://www.atptour.com/en/players/gerard-granollers/g922/overview","31(1989.01.30)","","157lbs(71kg)","6'0""(183cm)","","","Right-Handed,UnknownBackhand",""
"574","Amer Delic","d438","amer-delic","https://www.atptour.com/en/players/amer-delic/d438/overview","(1982.06.30)","2003","205lbs(93kg)","6'5""(196cm)","Tuzla,Bosnia","Jacksonville,Florida,USA","Right-Handed,One-HandedBackhand","CraigO'Shannessy"
"575","Artem Sitak","sd23","artem-sitak","https://www.atptour.com/en/players/artem-sitak/sd23/overview","34(1986.02.08)","2001","185lbs(84kg)","6'1""(185cm)","Orenbourg,Russia","Auckland,NewZealand","Right-Handed,Two-HandedBackhand","MasonFuller"
"576","Erik Chvojka","c918","erik-chvojka","https://www.atptour.com/en/players/erik-chvojka/c918/overview","(1986.10.26)","2004","176lbs(80kg)","6'1""(185cm)","Montreal,Canada","Montreal,Canada","Left-Handed,UnknownBackhand",""
"577","Laurynas Grigelis","ga71","laurynas-grigelis","https://www.atptour.com/en/players/laurynas-grigelis/ga71/overview","28(1991.08.14)","","171lbs(78kg)","6'0""(183cm)","Klaipeda,Lithuania","CastelliCalepio","Right-Handed,Two-HandedBackhand","FabioGorietti&FedericoTorresi"
"578","Roman Borvanov","bd00","roman-borvanov","https://www.atptour.com/en/players/roman-borvanov/bd00/overview","(1982.03.31)","2004","176lbs(80kg)","6'0""(183cm)","Chisinau,Moldova","PembrokePines,Florida,USA","Right-Handed,UnknownBackhand",""
"579","Ludovic Walter","w394","ludovic-walter","https://www.atptour.com/en/players/ludovic-walter/w394/overview","(1983.01.04)","","","","","","",""
"580","Sherif Sabry","sg01","sherif-sabry","https://www.atptour.com/en/players/sherif-sabry/sg01/overview","33(1986.08.29)","","","","","RepublicofEgypt","",""
"581","Omar Alawadhi","a499","omar-alawadhi","https://www.atptour.com/en/players/omar-alawadhi/a499/overview","(1982.01.16)","","","","Dubai,UnitedArabEmirates","","Right-Handed,Two-HandedBackhand",""
"582","Andrey Kumantsov","k861","andrey-kumantsov","https://www.atptour.com/en/players/andrey-kumantsov/k861/overview","(1986.08.04)","","","","","Russia","",""
"583","Nicolaas Scholtz","sk41","nicolaas-scholtz","https://www.atptour.com/en/players/nicolaas-scholtz/sk41/overview","(1991.02.05)","","","","Caledon,SouthAfrica","Caledon,SouthAfrica","Right-Handed,Two-HandedBackhand",""
"584","Zhe Li","l733","zhe-li","https://www.atptour.com/en/players/zhe-li/l733/overview","33(1986.09.20)","2004","169lbs(77kg)","6'1""(185cm)","Tianjin,China","Tianjin,China","Right-Handed,Two-HandedBackhand","ChristopheLambert"
"585","Felipe Rios","rb58","felipe-rios","https://www.atptour.com/en/players/felipe-rios/rb58/overview","(1992.03.04)","","","","","","Right-Handed,Two-HandedBackhand",""
"586","Pablo Galdon","g817","pablo-galdon","https://www.atptour.com/en/players/pablo-galdon/g817/overview","(1985.11.28)","","","","","","Right-Handed,Two-HandedBackhand",""
"587","Eric Prodon","p487","eric-prodon","https://www.atptour.com/en/players/eric-prodon/p487/overview","(1981.06.27)","2000","168lbs(76kg)","5'11""(180cm)","Paris,France","Paris,France","Right-Handed,One-HandedBackhand","EricProdon"
"588","Augustin Gensse","g695","augustin-gensse","https://www.atptour.com/en/players/augustin-gensse/g695/overview","(1983.08.10)","2001","","5'11""(180cm)","","","Right-Handed,Two-HandedBackhand",""
"589","Fernando Romboli","r960","fernando-romboli","https://www.atptour.com/en/players/fernando-romboli/r960/overview","31(1989.01.04)","2006","179lbs(81kg)","5'11""(180cm)","RiodeJaneiro,Brazil","Guaruja,Brazil","Right-Handed,One-HandedBackhand","TiagoLeivas"
"590","Ivan Nedelko","n561","ivan-nedelko","https://www.atptour.com/en/players/ivan-nedelko/n561/overview","34(1986.05.12)","2006","176lbs(80kg)","6'1""(185cm)","St.Petersburg,Russia","St.Petersburg,Russia","Right-Handed,Two-HandedBackhand","ValeryShilkov,ArtemKirillov"
"591","Marco Crugnola","c968","marco-crugnola","https://www.atptour.com/en/players/marco-crugnola/c968/overview","(1983.05.24)","2004","185lbs(84kg)","6'2""(188cm)","Varese,Italy","Varese,Italy","Right-Handed,UnknownBackhand","MaurizioRiva,FabioColangelo"
"592","Phillip Simmonds","sd01","phillip-simmonds","https://www.atptour.com/en/players/phillip-simmonds/sd01/overview","(1986.05.18)","","","","","","Right-Handed,UnknownBackhand",""
"593","Colin Fleming","f454","colin-fleming","https://www.atptour.com/en/players/colin-fleming/f454/overview","(1984.08.13)","","176lbs(80kg)","6'2""(188cm)","Linlithgow,Scotland","Linlithgow,Scotland","Right-Handed,Two-HandedBackhand",""
"594","Evgeny Kirillov","k777","evgeny-kirillov","https://www.atptour.com/en/players/evgeny-kirillov/k777/overview","(1987.07.14)","","","","","","Right-Handed,UnknownBackhand",""
"595","Alexander Slabinsky","se83","alexander-slabinsky","https://www.atptour.com/en/players/alexander-slabinsky/se83/overview","(1986.03.06)","","","6'1""(185cm)","Ivano-Frankirsk,Ukraine","London,GreatBritain","Right-Handed,UnknownBackhand","NickWeal"
"596","Peter Torebko","t911","peter-torebko","https://www.atptour.com/en/players/peter-torebko/t911/overview","32(1988.02.10)","2008","185lbs(84kg)","6'1""(185cm)","Bytom,Poland","Wesel,Germany","Right-Handed,Two-HandedBackhand",""
"597","Daniel Garza","g714","daniel-garza","https://www.atptour.com/en/players/daniel-garza/g714/overview","35(1985.04.08)","","","","Monterrey,Mexico","Monterrey,Mexico","Right-Handed,One-HandedBackhand",""
"598","Manuel Sanchez","si82","manuel-sanchez","https://www.atptour.com/en/players/manuel-sanchez/si82/overview","29(1991.01.05)","","171lbs(78kg)","0'0""(0cm)","SanLuisPotosi,Mexico","Guadalajara,Mexico","Right-Handed,One-HandedBackhand","MarcelaMontemayor"
"599","Peerakiat Siriluethaiwattana","sg66","peerakiat-siriluethaiwattana","https://www.atptour.com/en/players/peerakiat-siriluethaiwattana/sg66/overview","(1989.08.16)","","","","","","",""
"600","Kristijan Mesaros","mf90","kristijan-mesaros","https://www.atptour.com/en/players/kristijan-mesaros/mf90/overview","(1988.07.02)","","196lbs(89kg)","6'2""(188cm)","SlavonskiBrod,Croatia","","Right-Handed,Two-HandedBackhand",""
"601","Dino Marcan","mh98","dino-marcan","https://www.atptour.com/en/players/dino-marcan/mh98/overview","(1991.02.12)","2008","171lbs(78kg)","5'10""(178cm)","Rijeka,Croatia","Zagreb,Croatia","Right-Handed,Two-HandedBackhand","MarkoToic"
"602","Sandro Ehrat","e780","sandro-ehrat","https://www.atptour.com/en/players/sandro-ehrat/e780/overview","29(1991.04.18)","","","5'11""(180cm)","Schaffhausen,Switzerland","","Right-Handed,UnknownBackhand",""
"603","Benjamin Mitchell","mk40","benjamin-mitchell","https://www.atptour.com/en/players/benjamin-mitchell/mk40/overview","(1992.11.30)","2008","176lbs(80kg)","6'0""(183cm)","GoldCoast,Australia","GoldCoast,Australia","Right-Handed,UnknownBackhand","DesmondTyson"
"604","Yassine Idmbarek","i201","yassine-idmbarek","https://www.atptour.com/en/players/yassine-idmbarek/i201/overview","(1986.12.07)","","","","","Morocco","",""
"605","Nicolas Meister","mg84","nicolas-meister","https://www.atptour.com/en/players/nicolas-meister/mg84/overview","(1989.05.15)","","170lbs(77kg)","5'11""(180cm)","SantaAna","Dallas","Right-Handed,Two-HandedBackhand",""
"606","Blake Strode","si78","blake-strode","https://www.atptour.com/en/players/blake-strode/si78/overview","(1987.07.09)","2009","185lbs(84kg)","6'2""(188cm)","SaintLouis,MO,USA","Cary,NC,USA","Right-Handed,UnknownBackhand","CameronMoore"
"607","Dennis Lajola","l784","dennis-lajola","https://www.atptour.com/en/players/dennis-lajola/l784/overview","(1989.02.12)","","","","","","",""
"608","Gorka Fraile","f313","gorka-fraile","https://www.atptour.com/en/players/gorka-fraile/f313/overview","(1978.04.07)","","180lbs(82kg)","5'11""(180cm)","Irun,Spain","Madrid,Spain","Right-Handed,UnknownBackhand",""
"609","Ivo Klec","k512","ivo-klec","https://www.atptour.com/en/players/ivo-klec/k512/overview","39(1980.11.28)","1999","174lbs(79kg)","6'0""(183cm)","Bratislava,Slovakia","Bratislava,Slovakia","Right-Handed,UnknownBackhand","AlexanderKlec&AlexanderJr."
"610","Walter Trusendi","t868","walter-trusendi","https://www.atptour.com/en/players/walter-trusendi/t868/overview","35(1985.01.03)","","","","","","",""
"611","Jabor Al-Mutawa","ac23","jabor-al-mutawa","https://www.atptour.com/en/players/jabor-al-mutawa/ac23/overview","26(1994.05.27)","","","","","","",""
"612","Carlos Gomez-Herrera","g985","carlos-gomez-herrera","https://www.atptour.com/en/players/carlos-gomez-herrera/g985/overview","30(1990.04.30)","","187lbs(85kg)","6'3""(191cm)","Marbella,Spain","Marbella,Spain","Right-Handed,Two-HandedBackhand","PepeImaz"
"613","Andres Molteni","me56","andres-molteni","https://www.atptour.com/en/players/andres-molteni/me56/overview","32(1988.03.15)","2005","154lbs(70kg)","5'11""(180cm)","BuenosAires,Argentina","BuenosAires,Argentina","Right-Handed,Two-HandedBackhand","LeonardoOlguin"
"614","Josh Goodall","g744","josh-goodall","https://www.atptour.com/en/players/josh-goodall/g744/overview","(1985.10.17)","2004","163lbs(74kg)","6'2""(188cm)","Basingstoke,GreatBritain","Basingstoke,GreatBritain","Right-Handed,UnknownBackhand","PeterLundgren"
"615","Maxime Authom","a789","maxime-authom","https://www.atptour.com/en/players/maxime-authom/a789/overview","(1987.03.29)","0","0lbs(0kg)","0'0""(0cm)","","","Right-Handed,UnknownBackhand",""
"616","Sergey Betov","bd82","sergey-betov","https://www.atptour.com/en/players/sergey-betov/bd82/overview","32(1987.10.15)","","163lbs(74kg)","6'1""(185cm)","Gomel,Belarus","Minsk,Belarus","Right-Handed,UnknownBackhand",""
"617","Mikhail Elgin","e180","mikhail-elgin","https://www.atptour.com/en/players/mikhail-elgin/e180/overview","38(1981.10.14)","1998","172lbs(78kg)","6'0""(183cm)","St.Petersburg,Russia","St.Petersburg,Russia","Right-Handed,UnknownBackhand","IlyaDrozdov"
"618","Nikolai Fidirko","f620","nikolai-fidirko","https://www.atptour.com/en/players/nikolai-fidirko/f620/overview","(1987.06.15)","","187lbs(85kg)","6'1""(185cm)","Olomouc,CzechRepublic","Minsk,Belarus","Right-Handed,UnknownBackhand","AndreiFidirko"
"619","Andrei Vasilevski","v613","andrei-vasilevski","https://www.atptour.com/en/players/andrei-vasilevski/v613/overview","29(1991.05.28)","2009","179lbs(81kg)","6'1""(185cm)","Minsk,Belarus","Minsk,Belarus","Right-Handed,Two-HandedBackhand","AliaksandrVasilevski"
"620","Dominic Inglot","i200","dominic-inglot","https://www.atptour.com/en/players/dominic-inglot/i200/overview","34(1986.03.06)","","207lbs(94kg)","6'6""(198cm)","London,England","London,England","Right-Handed,One-HandedBackhand","LouisCayer"
"621","Ariez Elyaas Deen Heshaam","da53","ariez-elyaas-deen-heshaam","https://www.atptour.com/en/players/ariez-elyaas-deen-heshaam/da53/overview","(1993.12.24)","","","","","","Right-Handed,Two-HandedBackhand",""
"622","Sanam Singh","sg33","sanam-singh","https://www.atptour.com/en/players/sanam-singh/sg33/overview","(1988.01.11)","","147lbs(67kg)","5'9""(175cm)","Chandigarh,India","Chandigarh,India","Right-Handed,Two-HandedBackhand",""
"623","Julian Knowle","k263","julian-knowle","https://www.atptour.com/en/players/julian-knowle/k263/overview","46(1974.04.29)","1992","165lbs(75kg)","6'2""(188cm)","Lauterach,Austria","Vienna,Austria","Left-Handed,UnknownBackhand","MartinGattringer"
"624","Riccardo Ghedin","g822","riccardo-ghedin","https://www.atptour.com/en/players/riccardo-ghedin/g822/overview","(1985.12.05)","","169lbs(77kg)","6'1""(185cm)","Rome,Italy","Rome,Italy","Right-Handed,Two-HandedBackhand","FrancescoElia"
"625","Gabriel Moraru","ma36","gabriel-moraru","https://www.atptour.com/en/players/gabriel-moraru/ma36/overview","(1982.01.28)","2001","159lbs(72kg)","5'11""(180cm)","Constanta,Romania","Constanta,Romania","Right-Handed,UnknownBackhand","EmilNegoita"
"626","Cesar Ramirez","r835","cesar-ramirez","https://www.atptour.com/en/players/cesar-ramirez/r835/overview","(1990.01.25)","","","","","","",""
"627","Juan Sebastian Cabal","c834","juan-sebastian-cabal","https://www.atptour.com/en/players/juan-sebastian-cabal/c834/overview","34(1986.04.25)","2005","181lbs(82kg)","6'1""(185cm)","Cali,Colombia","PanamaCity,Panama","Right-Handed,Two-HandedBackhand","JeffCoetzee"
"628","Vishnu Vardhan","v505","vishnu-vardhan","https://www.atptour.com/en/players/vishnu-vardhan/v505/overview","33(1987.07.27)","2008","185lbs(84kg)","6'2""(188cm)","Secuderabad,India","Secuderabad,India","Right-Handed,Two-HandedBackhand","C.V.Nagraj&SoniaVardhan"
"629","Wishaya Trongcharoenchaikul","tb70","wishaya-trongcharoenchaikul","https://www.atptour.com/en/players/wishaya-trongcharoenchaikul/tb70/overview","25(1995.04.08)","","","","","","Right-Handed,Two-HandedBackhand",""
"630","Suk-Young Jeong","j452","suk-young-jeong","https://www.atptour.com/en/players/suk-young-jeong/j452/overview","(1993.04.12)","","","","","","Right-Handed,Two-HandedBackhand",""
"631","Filip Veger","v763","filip-veger","https://www.atptour.com/en/players/filip-veger/v763/overview","25(1994.12.21)","","","","","","",""
"632","Edward Corrie","ca71","edward-corrie","https://www.atptour.com/en/players/edward-corrie/ca71/overview","(1988.02.21)","","176lbs(80kg)","6'0""(183cm)","Harpenden,England","Harpenden,England","Right-Handed,Two-HandedBackhand","TomCorrie"
"633","Adrien Bossel","bf27","adrien-bossel","https://www.atptour.com/en/players/adrien-bossel/bf27/overview","33(1986.12.28)","","","","","","",""
"634","Markus Eriksson","e688","markus-eriksson","https://www.atptour.com/en/players/markus-eriksson/e688/overview","30(1989.11.29)","","176lbs(80kg)","6'2""(188cm)","Gothenburg,Sweden","Gothenburg,Sweden","Right-Handed,Two-HandedBackhand","FredrikRosengren"
"635","Aldin Setkic","sf41","aldin-setkic","https://www.atptour.com/en/players/aldin-setkic/sf41/overview","32(1987.12.21)","","189lbs(86kg)","6'3""(191cm)","Sarajevo,Bosnia&Herzegovina","Sarajevo","Right-Handed,Two-HandedBackhand","AlbertoCastellani"
"636","Alexander Ward","w579","alexander-ward","https://www.atptour.com/en/players/alexander-ward/w579/overview","(1990.04.30)","","187lbs(85kg)","6'1""(185cm)","Northampton,GreatBritain","Northampton,GreatBritain","Right-Handed,Two-HandedBackhand","Ad-InTennisAcademy"
"637","Younes Rachidi","r847","younes-rachidi","https://www.atptour.com/en/players/younes-rachidi/r847/overview","(1986.09.13)","","","","","","",""
"638","Milos Sekulic","sj15","milos-sekulic","https://www.atptour.com/en/players/milos-sekulic/sj15/overview","30(1989.11.04)","2008","161lbs(73kg)","5'10""(178cm)","Stockholm,Sweden","Stockholm,Sweden","Right-Handed,Two-HandedBackhand",""
"639","Boy Westerhof","w483","boy-westerhof","https://www.atptour.com/en/players/boy-westerhof/w483/overview",NA,NA,NA,NA,NA,NA,NA,NA
"640","Josko Topic","t762","josko-topic","https://www.atptour.com/en/players/josko-topic/t762/overview","(1983.12.08)","","","","","","",""
"641","Mousa Shanan Zayed","z367","mousa-shanan-zayed","https://www.atptour.com/en/players/mousa-shanan-zayed/z367/overview","26(1994.03.09)","","","","","","",""
"642","Niels Desein","d752","niels-desein","https://www.atptour.com/en/players/niels-desein/d752/overview","33(1987.06.09)","2007","187lbs(85kg)","6'3""(191cm)","Gent,Belgium","Oostende,Belgium","Right-Handed,UnknownBackhand","DannyVanDenBroucke"
"643","Matt Reid","r977","matt-reid","https://www.atptour.com/en/players/matt-reid/r977/overview","30(1990.07.17)","2009","192lbs(87kg)","6'0""(183cm)","Sydney,Australia","Sydney,Australia","Right-Handed,Two-HandedBackhand",""
"644","Collin Altamirano","ac84","collin-altamirano","https://www.atptour.com/en/players/collin-altamirano/ac84/overview","24(1995.12.07)","2017","187lbs(85kg)","6'2""(188cm)","Sacramento,CA,USA","Sacramento,CA,USA","Right-Handed,Two-HandedBackhand","JosephGilbert/ThomBilladeau/JimmyRoberts"
"645","Mikhail Biryukov","bh66","mikhail-biryukov","https://www.atptour.com/en/players/mikhail-biryukov/bh66/overview","(1992.04.28)","","","","","","",""
"646","Romain Bogaerts","bk85","romain-bogaerts","https://www.atptour.com/en/players/romain-bogaerts/bk85/overview","(1993.12.23)","","167lbs(76kg)","6'2""(188cm)","Namur","Huppaye","Left-Handed,Two-HandedBackhand","BouhoulleMichelandTonyBresky"
"647","Nicolas Barrientos","bc76","nicolas-barrientos","https://www.atptour.com/en/players/nicolas-barrientos/bc76/overview","33(1987.04.24)","2009","165lbs(75kg)","5'9""(175cm)","Cali,Colombia","Cali,Colombia","Right-Handed,Two-HandedBackhand",""
"648","Carlos Salamanca","sb28","carlos-salamanca","https://www.atptour.com/en/players/carlos-salamanca/sb28/overview","(1983.01.15)","2001","183lbs(83kg)","6'5""(196cm)","Bogota,Colombia","Bogota,Colombia","Left-Handed,Two-HandedBackhand","JorgeGerosi"
"649","Eduardo Struvay","si36","eduardo-struvay","https://www.atptour.com/en/players/eduardo-struvay/si36/overview","29(1990.12.17)","","","","","","",""
"650","Miguel Angel Reyes-Varela","r736","miguel-angel-reyes-varela","https://www.atptour.com/en/players/miguel-angel-reyes-varela/r736/overview","33(1987.06.21)","2010","152lbs(69kg)","5'9""(175cm)","Guadalajara,Mexico","Queretaro,Mexico","Right-Handed,One-HandedBackhand","MiguelReyesVarela,EduardoVicencio"
"651","Pedja Krstin","kd70","pedja-krstin","https://www.atptour.com/en/players/pedja-krstin/kd70/overview","25(1994.09.03)","2012","176lbs(80kg)","6'0""(183cm)","Mokrin,Serbia","Mokrin,Serbia","Right-Handed,Two-HandedBackhand",""
"652","Fabiano De Paula","d815","fabiano-de-paula","https://www.atptour.com/en/players/fabiano-de-paula/d815/overview","31(1988.11.28)","","172lbs(78kg)","5'10""(178cm)","RioDeJaneiro,Brazil","RioDeJaneiro,Brazil","Right-Handed,One-HandedBackhand","DudaMatos"
"653","Clay Thompson","tb84","clay-thompson","https://www.atptour.com/en/players/clay-thompson/tb84/overview","28(1992.05.04)","","190lbs(86kg)","6'6""(198cm)","VeniceBeach,CA,USA","VeniceBeach,CA,USA","Right-Handed,Two-HandedBackhand","ScottBailey"
"654","Laurent Lokoli","lc12","laurent-lokoli","https://www.atptour.com/en/players/laurent-lokoli/lc12/overview","25(1994.10.18)","","171lbs(78kg)","6'2""(188cm)","Bastia,France","RoutedeTerriccio20230","Right-Handed,Two-HandedBackhand","WalterGrunfeldTennisAcademy(WGTA)"
"655","Hicham Khaddari","kb07","hicham-khaddari","https://www.atptour.com/en/players/hicham-khaddari/kb07/overview","(1991.08.19)","","","","","","",""
"656","Andres Artunedo Martinavarro","ab17","andres-artunedo-martinavarro","https://www.atptour.com/en/players/andres-artunedo-martinavarro/ab17/overview","26(1993.09.14)","2011","167lbs(76kg)","6'0""(183cm)","CastellondelaPlana,Spain","Barcelona,Spain","Right-Handed,Two-HandedBackhand","AlexBragado/JoaquínMonso"
"657","Chase Buchanan","be93","chase-buchanan","https://www.atptour.com/en/players/chase-buchanan/be93/overview","(1991.06.04)","","175lbs(79kg)","6'4""(193cm)","Columbus,Ohio,U.S.A.","Columbus,Ohio,U.S.A.","Right-Handed,UnknownBackhand","StephenAmritraj"
"658","Victor Baluda","bi53","victor-baluda","https://www.atptour.com/en/players/victor-baluda/bi53/overview","(1992.09.30)","","","","","","",""
"659","Kimmer Coppejans","cg33","kimmer-coppejans","https://www.atptour.com/en/players/kimmer-coppejans/cg33/overview","26(1994.02.07)","2012","150lbs(68kg)","5'11""(180cm)","Oostende,Belgium","Lummen,Belgium","Right-Handed,Two-HandedBackhand","MichaelLynch,CarlMaes"
"660","Karim Hossam","ha95","karim-hossam","https://www.atptour.com/en/players/karim-hossam/ha95/overview","(1994.04.08)","","","","","","Right-Handed,Two-HandedBackhand",""
"661","Gonzalo Lama","lb07","gonzalo-lama","https://www.atptour.com/en/players/gonzalo-lama/lb07/overview","27(1993.04.27)","","181lbs(82kg)","5'11""(180cm)","Santiago,Chile","Santiago,Chile","Right-Handed,UnknownBackhand","MartinRodriguez"
"662","Daniel Smethurst","si57","daniel-smethurst","https://www.atptour.com/en/players/daniel-smethurst/si57/overview","(1990.10.13)","2011","183lbs(83kg)","6'2""(188cm)","Oldham,GreatBritain","Manchester,GreatBritain","Right-Handed,UnknownBackhand","MarkTaylor"
"663","James McGee","mg47","james-mcgee","https://www.atptour.com/en/players/james-mcgee/mg47/overview","(1987.06.10)","","176lbs(80kg)","6'0""(183cm)","Dublin,Ireland","Dublin,Ireland","Right-Handed,Two-HandedBackhand","JeffSalzenstein"
"664","Kento Takeuchi","t885","kento-takeuchi","https://www.atptour.com/en/players/kento-takeuchi/t885/overview","32(1987.12.19)","","","","","Japan","Left-Handed,UnknownBackhand",""
"665","Gregoire Burquier","bc36","gregoire-burquier","https://www.atptour.com/en/players/gregoire-burquier/bc36/overview","(1984.07.08)","","","","","","Left-Handed,One-HandedBackhand",""
"666","Nathan Pasha","pe00","nathan-pasha","https://www.atptour.com/en/players/nathan-pasha/pe00/overview","28(1992.07.15)","","188lbs(85kg)","6'3""(191cm)","Atlanta,GA,USA","Atlanta,GA,USA","Right-Handed,Two-HandedBackhand","RyanKent,MarkKovacs"
"667","Martin Vaisse","v790","martin-vaisse","https://www.atptour.com/en/players/martin-vaisse/v790/overview","(1987.08.11)","","","","","","",""
"668","Bowen Ouyang","o427","bowen-ouyang","https://www.atptour.com/en/players/bowen-ouyang/o427/overview","(1992.05.19)","","168lbs(76kg)","6'1""(185cm)","Xinjiang","USA","Left-Handed,Two-HandedBackhand",""
"669","Xin Gao","g820","xin-gao","https://www.atptour.com/en/players/xin-gao/g820/overview","26(1994.05.12)","","176lbs(80kg)","5'11""(180cm)","Tianjin","","Right-Handed,Two-HandedBackhand",""
"670","Patrick Ciorcila","cg40","patrick-ciorcila","https://www.atptour.com/en/players/patrick-ciorcila/cg40/overview","(1996.09.20)","","154lbs(70kg)","5'11""(180cm)","ClujNapoca,Romania","ClujNapoca,Romania","Right-Handed,Two-HandedBackhand","AndreiPavel"
"671","Tigre Hank","h917","tigre-hank","https://www.atptour.com/en/players/tigre-hank/h917/overview","28(1991.09.30)","","187lbs(85kg)","6'2""(188cm)","","","Left-Handed,UnknownBackhand",""
"672","Jeevan Nedunchezhiyan","n480","jeevan-nedunchezhiyan","https://www.atptour.com/en/players/jeevan-nedunchezhiyan/n480/overview","31(1988.10.20)","2015","152lbs(69kg)","5'8""(173cm)","Chennai,India","Chennai,India","Left-Handed,Two-HandedBackhand","ManuBajpai"
"673","Toni Androic","a837","toni-androic","https://www.atptour.com/en/players/toni-androic/a837/overview","(1991.12.28)","2010","160lbs(73kg)","5'6""(168cm)","Pula,Croatia","Zagreb,Croatia","Right-Handed,Two-HandedBackhand",""
"674","Lucas Miedler","mo55","lucas-miedler","https://www.atptour.com/en/players/lucas-miedler/mo55/overview","24(1996.06.21)","2014","172lbs(78kg)","6'0""(183cm)","Tulln,Austria","Tulln,Austria","Right-Handed,One-HandedBackhand","WolfgangThiem"
"675","Cem Ilkel","i306","cem-ilkel","https://www.atptour.com/en/players/cem-ilkel/i306/overview","24(1995.08.21)","2013","180lbs(82kg)","6'0""(183cm)","Istanbul,Turkey","Istanbul,Turkey","Right-Handed,Two-HandedBackhand","GavinHopper"
"676","Matteo Trevisan","t948","matteo-trevisan","https://www.atptour.com/en/players/matteo-trevisan/t948/overview","(1989.08.13)","","176lbs(80kg)","6'0""(183cm)","Florence,Italy","Florence,Italy","Right-Handed,Two-HandedBackhand",""
"677","Fabrice Martin","me04","fabrice-martin","https://www.atptour.com/en/players/fabrice-martin/me04/overview","33(1986.09.11)","2006","220lbs(100kg)","6'6""(198cm)","Bayonne,France","Bradenton,FL,USA","Right-Handed,One-HandedBackhand","ArnaudAgniel"
"678","Eric Quigley","q945","eric-quigley","https://www.atptour.com/en/players/eric-quigley/q945/overview","31(1989.01.30)","2012","185lbs(84kg)","6'1""(185cm)","Cincinnati,OH,U.S.A","Louisville,KY,U.S.A","Right-Handed,Two-HandedBackhand",""
"679","Germain Gigounon","gb13","germain-gigounon","https://www.atptour.com/en/players/germain-gigounon/gb13/overview","(1989.04.20)","","161lbs(73kg)","5'10""(178cm)","","","Right-Handed,UnknownBackhand",""
"680","Maxime Hamou","hb35","maxime-hamou","https://www.atptour.com/en/players/maxime-hamou/hb35/overview","25(1995.06.08)","","165lbs(75kg)","6'1""(185cm)","Nimes,France","Paris,France","Right-Handed,Two-HandedBackhand","AloisBeust"
"681","Ryan Shane","sq48","ryan-shane","https://www.atptour.com/en/players/ryan-shane/sq48/overview","26(1994.04.15)","","196lbs(89kg)","6'4""(193cm)","FallsChurch,Virginia,USA","FallsChurch,Virginia,USA","Right-Handed,One-HandedBackhand","DustinTaylor"
"682","Yaraslav Shyla","sk97","yaraslav-shyla","https://www.atptour.com/en/players/yaraslav-shyla/sk97/overview","27(1993.03.05)","2011","198lbs(90kg)","6'4""(193cm)","Minsk,Belarus","Minsk,Belarus","Right-Handed,Two-HandedBackhand","YaraslavShyla"
"683","Takuto Niki","n598","takuto-niki","https://www.atptour.com/en/players/takuto-niki/n598/overview","32(1987.10.12)","","162lbs(73kg)","6'0""(183cm)","SanDiego,CA,USA","Kobe,Japan","Right-Handed,Two-HandedBackhand","EijiTakeuchi,MasafumiKomada"
"684","Gonzalo Escobar","e661","gonzalo-escobar","https://www.atptour.com/en/players/gonzalo-escobar/e661/overview","31(1989.01.20)","","175lbs(79kg)","5'10""(178cm)","Manta,Ecuador","Manta,Ecuador","Left-Handed,Two-HandedBackhand","AnaMaríaConstantinescu"
"685","David Vega Hernandez","v758","david-vega-hernandez","https://www.atptour.com/en/players/david-vega-hernandez/v758/overview","26(1994.06.23)","","172lbs(78kg)","6'2""(188cm)","Telde,Spain","GranCanaria,Spain","Right-Handed,Two-HandedBackhand","ToniColom"
"686","Lorenzo Giustino","ga79","lorenzo-giustino","https://www.atptour.com/en/players/lorenzo-giustino/ga79/overview","28(1991.09.10)","2007","182lbs(83kg)","5'11""(180cm)","Naples,Italy","Naples,Italy","Right-Handed,Two-HandedBackhand","GianlucaCarbone"
"687","N Vijay Sundar Prashanth","pa97","n-vijay-sundar-prashanth","https://www.atptour.com/en/players/n-vijay-sundar-prashanth/pa97/overview","33(1986.10.27)","","165lbs(75kg)","5'10""(178cm)","Chennai,India","Chennai,India","Right-Handed,Two-HandedBackhand","MahendraVarman"
"688","Finn Tearney","ta04","finn-tearney","https://www.atptour.com/en/players/finn-tearney/ta04/overview","29(1990.09.27)","","176lbs(80kg)","6'0""(183cm)","Auckland","Wellington,NewZealand","Right-Handed,UnknownBackhand",""
